order	family	genus	species	weight	fecundity	ID
Coleoptera	Anobiidae	Anobium	punctatum	1.43	55	001
Coleoptera	Bruchidae	Acanthoscelides	obtectus	5.65	68	002
Coleoptera	Buprestidae	Capnodis	tenebrionis	234.52	279	003
Coleoptera	Buprestidae	Coraebus	rubi	33.16	56	004
Coleoptera	Byturidae	Byturus	tomentosus	5.9	83.5	005
Coleoptera	Carabidae	Calosoma	sycophanta	305.9	1959	006
Coleoptera	Carabidae	Lebia	grandis	21.58	1300	007
Coleoptera	Cerambycidae	Oberia	erythrocephala	20.48	40	008
Coleoptera	Chrysomelidae	Ambrostoma	quadriimpressum	53.93	500	009
Coleoptera	Chrysomelidae	Galerucella	calmariensis	5.65	350	010
Coleoptera	Chrysomelidae	Galerucella	pusilla	4.76	350	011
Coleoptera	Chrysomelidae	Gonioctena	japonica	21.51	40.6	012
Coleoptera	Chrysomelidae	Gonioctena	olivacea	16.91	600	013
Coleoptera	Chrysomelidae	Leptinotarsa	decemlineata	49.63	1000	014
Coleoptera	Cleridae	Necrobia	rufipes	8.05	89.59	015
Coleoptera	Coccinellidae	Adalia	bipunctata	7.51	537	016
Coleoptera	Coccinellidae	Chilocorus	nigritus	5.79	289.5	017
Coleoptera	Coccinellidae	Coccinella	septempunctata	26.38	700	018
Coleoptera	Coccinellidae	Coleomegilla	maculata	3.44	600	019
Coleoptera	Coccinellidae	Cryptolaemus	montrouzieri	1.07	439	020
Coleoptera	Coccinellidae	Exochomus	flavipes	7.26	137	021
Coleoptera	Coccinellidae	Harmonia	axyridis	27.17	560.5	022
Coleoptera	Coccinellidae	Hippodamia	convergens	3.44	221	023
Coleoptera	Coccinellidae	Leis	conformis	17.03	904	024
Coleoptera	Coccinellidae	Rodolia	cardinalis	0.89	165	025
Coleoptera	Curculionidae	Anthonomus	pomorum	4.62	53	026
Coleoptera	Curculionidae	Cyphocleonus	achates	76.49	65	027
Coleoptera	Curculionidae	Gymnetron	antirrhini	2.89	54	028
Coleoptera	Curculionidae	Gymnetron	netum	4.37	45	029
Coleoptera	Curculionidae	Hylobius	transversovittatus	37.39	200	030
Coleoptera	Curculionidae	Hypera	nigrirostris	4.37	83	031
Coleoptera	Curculionidae	Neochetina	bruchi	8.62	200	032
Coleoptera	Curculionidae	Neochetina	eichhorniae	11.98	200	033
Coleoptera	Curculionidae	Oxyops	vitiosa	38.42	470	034
Coleoptera	Curculionidae	Phytonomus	meles	7.88	252	035
Coleoptera	Curculionidae	Rhinocyllus	conicus	14.29	150	036
Coleoptera	Curculionidae	Sitophilus	granarius	3.44	231	037
Coleoptera	Curculionidae	Sitophilus	oryzae	3.57	62	038
Coleoptera	Curculionidae	Trichosirocalus	horridus	16.02	800	039
Coleoptera	Dermestidae	Anthrenus	museorum	2.69	22	040
Coleoptera	Dermestidae	Anthrenus	verbasci	2.94	60	041
Coleoptera	Dermestidae	Attagenus	pellio	9.85	50	042
Coleoptera	Dermestidae	Attagenus	piceus	8.62	83	043
Coleoptera	Dermestidae	Dermestes	lardarius	19.77	138	044
Coleoptera	Dermestidae	Trogoderma	granarium	1.88	40	045
Coleoptera	Dermestidae	Trogoderma	versicolor	8.74	108.5	046
Coleoptera	Derodontidae	Laricobius	erichsonii	0.71	50	047
Coleoptera	Drilidae	Drilus	flavescens	5.76	475	048
Coleoptera	Dytiscidae	Dytiscus	marginalis	469.2	1000	049
Coleoptera	Elateridae	Agriotes	mancus	15.59	105	050
Coleoptera	Elateridae	Melanotus	longulus	46.05	173	051
Coleoptera	Lampyridae	Lamprophorus	tenebrosus	42.76	66	052
Coleoptera	Lyctidae	Lyctus	brunneus	4.03	17	053
Coleoptera	Lyctidae	Lyctus	linearis	1.94	15	054
Coleoptera	Nitidulidae	Carpophilus	hemipterus	2.86	1071	055
Coleoptera	Nitidulidae	Carpophilus	humeralis	4.83	882	056
Coleoptera	Nitidulidae	Carpophilus	obsoletus	0.72	80	057
Coleoptera	Ptinidae	Ptinus	fur	3.13	38.6	058
Coleoptera	Ptinidae	Ptinus	sexpunctatus	6.54	21	059
Coleoptera	Rhipiceridae	Macrosiagon	tricuspidata	26.26	550	060
Coleoptera	Scarabaeidae	Amphimallon	caucasium	82.89	18	061
Coleoptera	Scarabaeidae	Amphimallon	majalis	71.7	22	062
Coleoptera	Scarabaeidae	Anomala	horticola	36.84	17.7	063
Coleoptera	Scarabaeidae	Aphodius	ater	2.69	48	064
Coleoptera	Scarabaeidae	Bubas	bison	223.78	60	065
Coleoptera	Scarabaeidae	Cephalodesmius	armiger	42.02	5	066
Coleoptera	Scarabaeidae	Copris	diversus	463	3.5	067
Coleoptera	Scarabaeidae	Copris	incertus	53.74	11	068
Coleoptera	Scarabaeidae	Copris	remotus	40.79	41	069
Coleoptera	Scarabaeidae	Eurysternus	marmoreus	56.6	10	070
Coleoptera	Scarabaeidae	Melolontha	melolontha	346.04	19	071
Coleoptera	Scarabaeidae	Onitis	belial	453.52	20	072
Coleoptera	Scolytidae	Ips	pini	6.47	146	073
Coleoptera	Scolytidae	Scolytus	rugulosus	1.92	55	074
Coleoptera	Scolytidae	Xyleborus	germanus	2.25	35	075
Coleoptera	Silphidae	Phosphuga	atrata	103.8	159	076
Coleoptera	Staphylinidae	Aleochara	bilineata	3.44	700	077
Coleoptera	Staphylinidae	Tachyporus	hypnorum	5.74	94.6	078
Coleoptera	Tenebrionidae	Bolitotherus	cornutus	61.18	10.5	079
Coleoptera	Tenebrionidae	Tenebrio	molitor	55.49	276	080
Coleoptera	Tenebrionidae	Tenebrio	obscurus	63.66	463	081
Coleoptera	Tenebrionidae	Tribolium	castaneum	3.28	360	082
Coleoptera	Trogositidae	Tenebroides	mauritanicus	17.45	1190	083
Dermaptera	Anisolabididae	Euboriella	annulipes	20.91	52.7	084
Dermaptera	Forficulidae	Anechura	bipunctata	22.14	55	085
Dermaptera	Forficulidae	Chelidurella	acanthopygia	5.93	55	086
Dermaptera	Forficulidae	Forficula	auricularia	18.14	40	087
Dermaptera	Labiduridae	Labidura	riparia	73.17	440	088
Dictyoptera	Blaberidae	Diploptera	punctata	75.44	29	089
Dictyoptera	Blaberidae	Nauphoeta	cinerea	100.25	193	090
Dictyoptera	Blaberidae	Pycnoscelus	surinamensis	66.88	70	091
Dictyoptera	Blattellidae	Blattella	germanica	22.62	242	092
Dictyoptera	Blattidae	Eurycotis	floridana	672.51	104	093
Dictyoptera	Blattidae	Periplaneta	australasiae	187.55	180	094
Dictyoptera	Cryptocercidae	Cryptocercus	punctulatus	164.51	73	095
Dictyoptera	Mantidae	Mantis	religiosa	441.52	1100	096
Dictyoptera	Phasmatidae	Didymuria	violescens	410	357	097
Dictyoptera	Phasmatidae	Extatosoma	tiaratum	4966.64	1011	098
Dictyoptera	Phasmatidae	Phyllium	bioculatum	530.56	92.5	099
Dictyoptera	Phasmatidae	Podacanthus	typhon	1447.48	428	100
Dictyoptera	Phasmatidae	Tropidoderus	childreni	1662.94	468	101
Diptera	Calliphoridae	Calliphora	erythrocephala	21.88	2500	102
Diptera	Calliphoridae	Chrysomya	bezziana	11.3	175	103
Diptera	Calliphoridae	Lucilia	cuprina	14.66	1000	104
Diptera	Calliphoridae	Lucilia	sericata	14.66	151	105
Diptera	Cecidomyiidae	Aphidoletes	aphidimyza	0.45	70	106
Diptera	Cecidomyiidae	Spurgia	esulae	0.28	140	107
Diptera	Chironomidae	Chironomus	plumosus	3.31	1750	108
Diptera	Chironomidae	Chironomus	tentans	9.75	2350	109
Diptera	Chironomidae	Corynoneura	scutellata	0.11	22	110
Diptera	Chironomidae	Cricotopus	trifasciatus	1.01	350	111
Diptera	Muscidae	Delia	antiqua	3.9	123	112
Diptera	Muscidae	Erioischia	brassicae	3.76	115	113
Diptera	Muscidae	Musca	domestica	6.53	2387	114
Diptera	Muscidae	Stomoxys	calcitrans	10.22	147.5	115
Diptera	Sciomyzidae	Sepedon	sphegea	9.3	274	116
Diptera	Simuliidae	Simulium	spp	2.84	350	117
Diptera	Syrphidae	Rhingia	campestris	6.17	156.5	118
Diptera	Tabanidae	Tabanus	macer	10.5	250	119
Diptera	Tabanidae	Tabanus	rubidus	31.24	600	120
Diptera	Tachinidae	Cyzenis	albicans	3.89	1373	121
Diptera	Tachinidae	Voria	ruralis	8.36	169	122
Diptera	Tephritidae	Chaetorellia	acrolophi	0.85	69	123
Diptera	Tephritidae	Terellia	virens	1.03	80	124
Diptera	Tipulidae	Erioptera	lutea	1.16	105	125
Diptera	Tipulidae	Tipula	flavolineata	26.04	369	126
Diptera	Trypetidae	Rhagoletis	juglandis	1.91	126	127
Embioptera	Embiidae	Monotylota	ramburi	1.54	80	128
Embioptera	Oligotomidae	Oligotoma	nigra	1.04	220	129
Ephemeroptera	Baetidae	Baetis	pumilus	2.82	1104.5	130
Ephemeroptera	Baetidae	Centroptilum	luteolum	2.66	1236.5	131
Ephemeroptera	Baetidae	Cloeon	dipterum	3.3	904	132
Ephemeroptera	Baetidae	Cloeon	simile	7.13	2896.5	133
Ephemeroptera	Caenidae	Caenis	horaria	1.05	556	134
Ephemeroptera	Caenidae	Caenis	moesta	1.58	934	135
Ephemeroptera	Ephemerellidae	Ephemerella	ignita	1.42	1006.5	136
Ephemeroptera	Ephemeridae	Hexagenia	limbata	18.9	4000	137
Ephemeroptera	Heptageniidae	Ecdyonurus	fluminum	4.72	1798.5	138
Ephemeroptera	Heptageniidae	Ecdyonurus	helviticus	2.31	4222.5	139
Ephemeroptera	Heptageniidae	Heptagenia	lateralis	3.66	2014	140
Ephemeroptera	Leptophlebiidae	Habrophlebia	modesta	1.51	1628	141
Ephemeroptera	Leptophlebiidae	Leptophlebia	vespertina	3.41	1314	142
Ephemeroptera	Polymitarcidae	Ephoron	virgo	5.42	750	143
Ephemeroptera	Siphlonuridae	Siphlonurus	lacustris	7.48	2105.5	144
Hemiptera	Acanthosomatidae	Elasmostethus	interstinctus	11.98	200	145
Hemiptera	Acanthosomatidae	Elasmucha	grisea	7.99	45	146
Hemiptera	Acanthosomatidae	Elasmucha	putoni	25.72	49.9	147
Hemiptera	Acanthosomatidae	Elasmucha	signoreti	5.19	33.79	148
Hemiptera	Anthocoridae	Anthocoris	confusus	0.91	48.8	149
Hemiptera	Anthocoridae	Cimex	lectularius	2.35	541	150
Hemiptera	Anthocoridae	Orius	insidiosus	0.12	129	151
Hemiptera	Anthocoridae	Orius	tristicolor	0.14	129	152
Hemiptera	Jassidae	Acinopterus	angulatus	2.76	188	153
Hemiptera	Lygaeidae	Geocoris	punctipes	1.28	178	154
Hemiptera	Lygaeidae	Nysius	huttoni	0.59	87.5	155
Hemiptera	Lygaeidae	Oncopeltus	fasciatus	6.63	849	156
Hemiptera	Membracidae	Publilia	concava	3.4	145	157
Hemiptera	Membracidae	Thalia	bimaculata	35.86	28	158
Hemiptera	Membracidae	Umbonia	crassicornis	46.5	32.5	159
Hemiptera	Miridae	Deraeocoris	nebulosus	1.32	240	160
Hemiptera	Miridae	Psallus	ambiguus	1.65	34	161
Hemiptera	Pentatomidae	Nezara	viridula	87.28	907	162
Hemiptera	Pentatomidae	Podisus	maculiventris	18.81	300	163
Hemiptera	Reduviidae	Endochus	inornatus	37.24	90.7	164
Hemiptera	Reduviidae	Irantha	armipes	6.43	30.6	165
Hemiptera	Reduviidae	Panstrongylus	geniculatus	131.54	61.6	166
Hemiptera	Reduviidae	Rhinocoris	fuscipes	22.11	340	167
Hemiptera	Reduviidae	Rhinocoris	marginatus	47.45	154.7	168
Hemiptera	Reduviidae	Rhodnius	neivai	67.11	885.5	169
Hemiptera	Reduviidae	Sphedanolestes	signatus	5.38	41	170
Hemiptera	Reduviidae	Sycanus	collaris	67.63	229	171
Hemiptera	Reduviidae	Triatoma	infestans	215.97	150	172
Hemiptera	Reduviidae	Triatoma	maculata	215.97	502	173
Hemiptera	Reduviidae	Triatoma	pallidipennis	215.97	499	174
Hemiptera	Scutelleridae	Pachycoris	klugii	72.93	81	175
Hemiptera	Tingidae	Corythucha	ciliata	0.42	166	176
Hemiptera	Tingidae	Corythucha	marmorata	0.23	136.7	177
Hemiptera	Tingidae	Corythucha	pruni	0.53	160.7	178
Hemiptera	Tingidae	Gargaphia	solani	0.65	127.8	179
Hemiptera	Tingidae	Urentius	echinus	0.78	74	180
Hymenoptera	Aphelinidae	Encarsia	inaron	0.01	129	181
Hymenoptera	Argidae	Dielocerus	diasi	59.06	75	182
Hymenoptera	Argidae	Digelasinus	diversipes	50.92	75	183
Hymenoptera	Argidae	Thermos	olfersii	77.04	27	184
Hymenoptera	Bethylidae	Pristocera	rufa	1.95	21.5	185
Hymenoptera	Braconidae	Apanteles	melanoscelus	0.4	1000	186
Hymenoptera	Braconidae	Apharaeta	genevensis	0.15	175	187
Hymenoptera	Braconidae	Cotesia	glomerata	0.15	175	188
Hymenoptera	Braconidae	Pholetesor	ornigis	0.08	370	189
Hymenoptera	Cynipidae	Diplolepis	rosae	0.33	408	190
Hymenoptera	Cynipidae	Periclistus	brandtii	0.04	73	191
Hymenoptera	Cynipidae	Synergus	albipes	0.1	35	192
Hymenoptera	Cynipidae	Xestophanes	potentillae	0.03	88	193
Hymenoptera	Figitidae	Anacharis	immunis	0.03	20	194
Hymenoptera	Figitidae	Callaspidia	sp	0.72	20	195
Hymenoptera	Figitidae	Figites	sp	0.23	90	196
Hymenoptera	Figitidae	Phaenoglyphis	viliosa	0.03	80	197
Hymenoptera	Ichneumonidae	Angitia	fenestralis	1.43	540	198
Hymenoptera	Ichneumonidae	Aptesis	nigrocincta	3.54	20.2	199
Hymenoptera	Ichneumonidae	Bathyplectes	curculionis	1.23	200	200
Hymenoptera	Ichneumonidae	Campoplex	haywardi	1.1	87	201
Hymenoptera	Ichneumonidae	Diadegma	insulare	0.18	150	202
Hymenoptera	Mymaridae	Anaphes	flavipes	0.02	20	203
Hymenoptera	Pamphilidae	Cephalcia	fuscipennis	8.65	23	204
Hymenoptera	Pamphilidae	Cephalcia	isshikii	63.41	51	205
Hymenoptera	Sphecidae	Sceliphron	assimile	104.09	20	206
Hymenoptera	Sphecidae	Sceliphron	laetum	104.09	8	207
Hymenoptera	Sphecidae	Trypoxylon	palliditarse	50.78	9.5	208
Hymenoptera	Tenthredinidae	Athalia	rosae	3.87	51	209
Hymenoptera	Tenthredinidae	Hoplocampa	crataegi	1.78	69	210
Hymenoptera	Tenthredinidae	Trichiocampus	viminalis	12.03	85	211
Hymenoptera	Tiphiidae	Tiphia	popilliavora	6.78	36	212
Hymenoptera	Trichogrammatidae	Trichogramma	cacoeciae	0.01	14	213
Hymenoptera	Trichogrammatidae	Trichogramma	embryophagum	0.01	2.5	214
Hymenoptera	Trichogrammatidae	Trichogramma	evanescens	0	57	215
Hymenoptera	Trichogrammatidae	Trichogramma	minutum	0.01	29	216
Hymenoptera	Trichogrammatidae	Trichogramma	ostriniae	0.01	54	217
Lepidoptera	Cosmopterygidae	Eteobalea	intermediella	10.54	180	219
Lepidoptera	Cosmopterygidae	Eteobalea	serratella	14.04	180	220
Lepidoptera	Cossidae	Cossus	cossus	675.91	1000	221
Lepidoptera	Cossidae	Zeuzera	pyrina	240.82	851	222
Lepidoptera	Gelechiidae	Metzneria	paucipunctella	4.3	80	223
Lepidoptera	Geometridae	Chiasmia	clathrata	4.34	325	224
Lepidoptera	Gracilariidae	Lithocolletis	blancardella	0.07	12	225
Lepidoptera	Hepialidae	Hepialus	humuli	76.01	600	226
Lepidoptera	Lasiocampidae	Malacosoma	disstria	183	1.36	227
Lepidoptera	Lymantriidae	Euproctis	chrysorrhoea	27.29	175	228
Lepidoptera	Lymantriidae	Lymantria	dispar	29.96	680	229
Lepidoptera	Lymantriidae	Stilpnotia	salicis	89.99	350	230
Lepidoptera	Noctuidae	Agrotis	segetum	49.92	2788	231
Lepidoptera	Noctuidae	Calophasia	lunula	41.6	250	232
Lepidoptera	Noctuidae	Heliothis	armigera	36.9	800	233
Lepidoptera	Noctuidae	Heliothis	zea	36.9	80	234
Lepidoptera	Noctuidae	Trichoplusia	ni	507	10.7	235
Lepidoptera	Notodontidae	Phalera	bucephala	208.04	270	236
Lepidoptera	Nymphalidae	Hypolimnas	anomala	565	61	237
Lepidoptera	Pieridae	Pieris	napi	21.03	362.5	238
Lepidoptera	Pieridae	Pieris	rapae	23.96	350	239
Lepidoptera	Pyralidae	Chilo	suppresalis	9.68	85	240
Lepidoptera	Pyralidae	Corcyra	cephalonica	2.59	116	241
Lepidoptera	Pyralidae	Cryptoblabes	gnidiella	1.47	150	242
Lepidoptera	Pyralidae	Ectomyelois	ceratoniae	10.04	125	243
Lepidoptera	Pyralidae	Etiella	zinckenella	2.27	33	244
Lepidoptera	Pyralidae	Margaronia	unionalis	14.39	590	245
Lepidoptera	Pyralidae	Nomophila	noctuella	8.93	258	246
Lepidoptera	Pyralidae	Plodia	interpunctella	3.23	250	247
Lepidoptera	Saturniidae	Antheraea	yamamai	649.63	114	248
Lepidoptera	Saturniidae	Samia	cynthia	169.59	400	249
Lepidoptera	Sesiidae	Chamaesphecia	hungarica	25.62	150	250
Lepidoptera	Tineidae	Tineola	bisselliella	1.06	80	251
Lepidoptera	Tortricidae	Agapeta	zoegana	4.18	49.5	252
Lepidoptera	Tortricidae	Archips	rosanus	2	147	253
Lepidoptera	Tortricidae	Enarmonia	formosana	3.78	49	254
Lepidoptera	Tortricidae	Epiphyas	postvittana	2.27	309.5926	255
Lepidoptera	Tortricidae	Pammene	juliana	2.14	180	256
Lepidoptera	Tortricidae	Pandemis	ribeana	1.47	313	257
Lepidoptera	Tortricidae	Pelochrista	medullana	9.02	120	258
Lepidoptera	Tortricidae	Spilonota	ocellana	1.33	180	259
Megaloptera	Sialidae	Sialis	lutaria	7.96	725	260
Neuroptera	Chrysopidae	Chrysopa	madestes	3.09	42.5	261
Neuroptera	Chrysopidae	Chrysopa	oculata	6.61	185	262
Neuroptera	Chrysopidae	Chrysopa	rufilabris	2.71	31	263
Neuroptera	Sympherobiidae	Sympherobius	amicus	0.93	250	264
Orthoptera	Acrididae	Locusta	migratorioides	799.64	497	265
Orthoptera	Acrididae	Locustana	pardalina	380.59	320	266
Orthoptera	Acrididae	Nomadacris	septemfasciata	943.76	388	267
Orthoptera	Acrididae	Schistocerca	gregaria	1016.53	317	268
Orthoptera	Gryllidae	Anurogryllus	muticus	109.29	22.5	269
Orthoptera	Gryllidae	Gryllodes	sigillatus	110.22	138	270
Orthoptera	Gryllidae	Gryllulus	domesticus	116.85	2636	271
Orthoptera	Gryllidae	Gryllus	campestris	404.21	850	272
Orthoptera	Gryllidae	Gymnogryllus	humeralis	172.78	285	273
Orthoptera	Gryllotalpidae	Gryllotalpa	gryllotalpa	809.91	250	274
Orthoptera	Tettigoniidae	Conocephalus	fuscus	93.9	65	275
Orthoptera	Tettigoniidae	Euthypoda	acutipennis	595.94	69	276
Orthoptera	Tettigoniidae	Isophya	pyrenaea	203.85	37.5	277
Orthoptera	Tettigoniidae	Tettigonia	viridissima	536.26	70	278
Phthiraptera	Pediculidae	Pediculus	humanus	0.25	250	279
Phthiraptera	Phthiridae	Phthirus	pubis	0.04	26	280
Siphonaptera	Pulicidae	Pulex	irritans	0.52	450	281
Trichoptera	Leptoceridae	Mystacides	longicornis	1.77	237.5	282
Trichoptera	Limnephilidae	Drusus	annulatus	3.24	240	283
Trichoptera	Limnephilidae	Limnephilus	flavicornis	18.61	343	284
Trichoptera	Limnephilidae	Limnephilus	lunatus	14.01	328.5	285